what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1338667838664
stopped,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1338667838664
stopped,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1338667838664
stopped,bundle,org.eclipse.jpt.jaxb.eclipselink.core,1.0.0.v201105180000,"org.eclipse.jpt.jaxb.eclipselink.core",1338667838664
stopped,bundle,org.eclipse.jpt.jpa.eclipselink.core,2.0.2.v201111103010,"org.eclipse.jpt.jpa.eclipselink.core",1338667838664
stopped,bundle,org.eclipse.jpt.common.eclipselink.core,1.0.1.v201108080010,"org.eclipse.jpt.common.eclipselink.core",1338667838664
stopped,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1338667838664
stopped,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1338667838664
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1338670833338
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1338670833338
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1338670833338
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1338670833338
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338670833338
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1338670833338
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1338670833338
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1338670833338
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1338670833338
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1338670833338
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1338670833338
